"subject_id","value.fit_glaze_osc_zeta_v4","value.fit_glaze_osc_zeta_v4_one_amp","value.fit_glaze_osc_zeta_v4_LLR_amp","value.fit_glaze_osc_zeta_v4_Prior_amp","value.fit_glaze_osc_zeta_v4_no_amp","value.fit_glaze_osc_zeta_v4_no_integration"
5821,117.840018157542,117.843209026598,115.166520388672,118.783268309945,120.758096718163,120.758363140404
5822,NA,119.122909579639,119.158337979031,118.485992175377,119.679641393586,119.709905805275
5823,123.663702473983,NA,122.195760376182,128.957780506797,122.469151948414,122.781657211057
5824,NA,123.034201339066,135.87192505638,NA,136.568815916081,125.636613602908
5825,88.6969403179947,89.2029428217549,99.1560483766964,88.5446222859578,101.742665239875,122.781657211057
5826,124.229525054557,124.170040006731,126.111152617892,126.638458511058,126.638462830181,127.422833060786
5827,NA,116.387426064316,114.122846664209,113.556203523276,117.003691014848,118.636518592727
5828,NA,122.329441125671,123.619335257433,122.808666087604,123.619350856659,123.757047670345
5829,125.774014649104,125.873429569562,125.4869141114,126.120703986958,126.539292007873,126.541276150226
5830,115.353120581794,118.128718304355,136.040650778763,115.480973581777,140.778015645786,120.758363140404
5831,116.7255551507,116.723228555309,133.87993125001,118.903227135758,134.376890013458,120.758363140404
5832,120.642429488547,120.64919630778,116.617494268229,121.043566882855,121.276449137451,124.708616901182
5833,120.322450985229,122.151282379707,115.291704325074,116.399794169738,116.015374549373,116.413706028717
5834,123.008185279693,124.515866823227,124.405503549036,NA,126.420347101049,126.541276150226
5835,125.066081993519,126.433592428189,123.301639762372,126.433592530369,126.433592742244,126.541276150226
5836,124.331678164035,NA,122.880326994428,NA,123.768247567222,125.636613602908
5837,120.01781166236,120.209591862884,120.017822930983,120.682988263222,122.439904886272,122.781657211057
5838,125.184410196207,125.203122022024,NA,126.573605862621,127.339094540826,127.422833060786
5839,116.263436936856,122.0744874081,NA,118.218213546013,138.294952515107,123.757047670345
5840,118.763716440515,118.739686660155,120.466638057994,NA,120.466727409461,120.758363140404
5841,NA,115.848385934646,115.592196445505,116.400836176416,118.048908748879,120.758363140404
5842,123.313059678299,123.3141535857,122.550221463175,124.316424319091,125.14764230518,125.636613602908
5843,127.875136519508,131.70408315137,142.729422191843,124.284990146289,142.729422413974,128.281503431529
5844,NA,129.296536112305,129.327154342867,130.639572900289,130.711377470881,130.72225333798
5845,115.441001859701,NA,118.077566453904,114.359440607084,130.666377001883,124.708616901182
5846,116.732947171288,118.627420454126,118.627419327118,116.756901018987,118.627410370998,121.782185997801
5847,117.844217683911,119.607217580904,120.834234468329,117.923554166662,120.887150531233,121.782185997801
5848,117.331728019076,117.610934256286,117.796280742315,NA,118.553340763314,118.636518592727
5849,114.008816608335,117.230986654722,119.353912058625,111.468232080428,119.353914022245,122.781657211057
5850,113.064247789048,113.543432227469,113.064388948559,113.54343296989,113.543381400685,114.087284080755
5851,NA,127.170472936285,126.712643559496,NA,128.502564612411,129.117497346233
5852,NA,120.537743441531,120.761929057913,123.47989195685,123.934326401099,124.708616901182
5853,NA,117.773167375334,116.859659816101,114.359608454186,118.11790032931,126.541276150226
5854,NA,127.674647405775,141.29497859634,134.201122794603,141.575578903919,128.281503431529
5855,114.024203109874,115.455026493096,116.813326470236,118.062076592941,119.033607933974,NA
5856,NA,129.558162338064,129.646681257205,127.901841845299,129.815636854124,129.931016256469
5857,NA,123.635684863958,123.62676974134,121.470776598812,123.753015673348,123.757047670345
5858,121.828879367845,121.819586197718,121.78090406153,120.924357610636,122.772401321638,122.781657211057
5859,121.372978314478,121.866482845586,120.162722512408,120.910426908126,122.299335774167,123.757047670345
5860,115.84256743667,NA,119.200818826178,115.177150107336,119.987025672718,122.781657211057
5861,113.39652773154,117.002910821767,113.345036049975,115.072190704909,117.002786109839,117.537892866179
5862,123.434412006863,123.434783489129,124.858211185063,123.586819278423,125.269280325454,126.541276150226
5863,114.830176252945,116.350987965252,114.832449981563,116.763929279654,117.503475836119,117.537892866179
5864,NA,113.154967754132,NA,110.85774229398,116.392678367081,117.537892866179
5865,116.384088164271,116.393294526095,120.758209757444,120.163522089909,143.534845309669,120.758363140404
5866,NA,121.174480329209,120.548781774673,120.11416867314,121.225070710961,121.782185997801
5867,121.129934708641,121.132390929243,121.139247310336,121.781950028938,123.235231879642,123.757047670345
5868,NA,123.037399292709,NA,123.158992421068,134.91830506735,124.708616901182
5869,NA,113.50098640145,113.452689288535,115.557015304559,117.112988970034,117.537892866179
5870,121.294178397625,121.271625983113,116.768048669438,121.419921775843,121.760725794492,121.782185997801
5871,116.527574747948,116.53214799858,130.390340873541,130.192930710232,130.787490370107,119.709905805275
5872,NA,116.278917361775,135.104139536645,117.247221009083,136.640042928367,120.758363140404
5873,NA,121.268303178937,122.534218564574,122.534118751735,122.534238918703,122.781657211057
5874,NA,119.03207139563,137.219641822962,118.704384184216,139.665565515581,120.758363140404
5875,122.080004465826,120.790235512462,131.173254600884,128.010994144099,132.298857264497,122.781657211057
5876,NA,105.950336567966,106.52698464207,105.593936739273,107.7843427416,109.111766217418
5877,114.980662868439,NA,117.131744861177,117.792674925942,118.570111428552,118.636518592727
5878,113.122832250803,113.196918596196,110.051939860778,113.918600423632,115.065469269592,116.413706028717
5879,120.067985323835,120.623681103681,119.434497211044,118.916737774726,120.75203654393,120.758363140404
5880,NA,112.954442370166,104.486737884244,NA,108.400203579101,125.636613602908
5881,122.543419968794,123.117129977916,124.242470192365,NA,124.885318801306,126.541276150226
5882,NA,119.618786146998,118.456550063226,128.749308138355,119.61878826737,119.709905805275
5883,120.053699561158,120.08423545803,137.2301827771,NA,137.469268785141,124.708616901182
5884,NA,128.36563422314,127.542065296476,129.062206673024,129.847953432385,129.931016256469
5885,119.988210978484,120.367836699957,120.612396745853,119.988329815765,120.611005759171,125.636613602908
5886,NA,120.660890147725,120.758223025764,120.231580734631,120.758223029457,120.758363140404
5887,115.733231721802,115.732769133593,117.532061794379,116.391175390702,117.532061231946,117.537892866179
5888,121.914033711017,121.904806757344,120.063490669592,122.364909786259,122.609874483196,122.781657211057
5889,NA,119.814178455665,119.573747656079,120.618654880418,120.618655626931,120.758363140404
5890,114.975508689239,114.971506083755,134.119760555463,115.760069772906,135.367040051538,116.413706028717
5891,112.840018079121,112.999691169347,114.36721919013,NA,115.464243404743,117.537892866179
5892,NA,131.201697659943,132.032593023147,NA,138.557094609427,125.636613602908
5893,111.319393247715,112.755314511745,122.656315053853,114.675448358758,127.513851440527,116.413706028717
5894,121.37572880885,121.371428379131,122.686468919893,122.102509788379,122.759928431077,122.781657211057
5895,94.8560315768298,92.832113585152,92.3176932977491,91.5262343455779,94.4032093111103,118.636518592727
5896,118.311313126134,119.172453512294,118.647110105062,118.438014842432,119.664660876947,119.709905805275
5897,121.27655542173,121.342043691738,121.276560806395,122.78164928113,122.728911098262,122.781657211057
5898,118.312118159165,119.428872263286,120.756062641104,118.655074151483,139.732221346308,120.758363140404
5899,NA,122.253713867076,123.749315037688,123.607618875225,123.749314000498,NA
5900,NA,115.66133888441,115.981928702818,NA,116.399987155672,116.413706028717
5901,NA,117.573328135971,119.98497568853,119.865317199548,120.709402983216,121.782185997801
5902,NA,NA,118.775916970569,118.627104230977,120.506031422191,120.758363140404
5903,108.974050320786,108.976078375693,109.668241225314,107.669066471406,110.135701108822,111.654361438801
5904,113.078301778197,114.937433883165,114.999688801775,112.94782256122,115.159718257687,116.413706028717
5905,121.917156843361,122.043458139224,121.935623198594,NA,122.936943302261,125.636613602908
5906,106.405903819192,106.534416884511,110.157411571036,NA,109.856605419621,114.087284080755
5907,118.297077989431,NA,123.636602319508,123.181701199219,123.64397618884,123.757047670345
5908,NA,122.651553337976,122.4536920722,NA,143.69743254009,122.781657211057
5909,120.071402637447,125.165630873236,130.745758951996,120.833635449617,122.454023376027,122.781657211057
5910,NA,126.918689931903,130.505804209329,120.973681404985,130.566621250804,123.757047670345
5911,114.164403566111,114.154808607164,114.862903892072,117.013469216915,118.59089467807,118.636518592727
5912,123.395351250403,123.267115342278,123.386682708619,124.356916791971,124.697652705656,124.708616901182
5913,NA,120.42262435785,120.412031855964,121.34490475313,143.61727570766,121.782185997801
