"","p1","p2","p3","p4","p5","p6","p7","value","fevals","gevals","niter","convcode","kkt1","kkt2","xtime","subject_id","session_id","trial_n","free_param","type","AIC","cAIC"
"L-BFGS-B1817",0.541842813749883,5.37839463690167,0.842262472579987,0.328570234794755,0.199819018795519,3.44919740188086,0.999,391.152204936985,64,64,NA,0,FALSE,FALSE,32.8600000000151,176,41,755,7,"fit_glaze_osc_zeta_v4_mouse",796.304409873969,796.454342939565
"L-BFGS-B1818",0.510544441804385,4.65663016593955,1.03300358611458,1.03755472246984,0.0275310384615221,4.47236632192027,1.001,343.639151473905,156,156,NA,0,FALSE,FALSE,65.0100000000093,176,43,619,7,"fit_glaze_osc_zeta_v4_mouse",701.278302947811,701.461609003457
"L-BFGS-B1819",0.416398799349752,8.18991725474239,2.67405606022717,0,0.113293019808092,4.79636648751509,0.999,242.435642979229,95,95,NA,0,FALSE,FALSE,35.0200000000186,176,44,551,7,"fit_glaze_osc_zeta_v4_mouse",498.871285958457,499.077547468586
"L-BFGS-B1820",0.518318525445198,11.0478301463293,1.1357284196634,0.655845978706428,0.0469191653675009,1.96745945673074,1.001,274.273563242192,117,117,NA,0,FALSE,FALSE,50.0299999999988,176,45,635,7,"fit_glaze_osc_zeta_v4_mouse",562.547126484384,562.725754873539
"L-BFGS-B1821",0.479599126197988,11.3838111456787,1.03513329742078,1.78694540792343,0.0416339945046591,5.67055469124022,1.001,314.681976766246,103,103,NA,0,FALSE,FALSE,46.2900000000081,176,46,664,7,"fit_glaze_osc_zeta_v4_mouse",643.363953532492,643.534685239809
"L-BFGS-B1822",0.455370657264689,6.30619245559247,1.13020627054418,0.724180766910224,0.025,2.04485635444756,1.001,447.725796184378,108,108,NA,1,FALSE,TRUE,66,176,47,846,7,"fit_glaze_osc_zeta_v4_mouse",909.451592368755,909.585243920068
"L-BFGS-B1823",0.40245348838907,9.66938464092077,0.984294569354877,0.876033645327727,0.110506938875829,3.16341725942085,0.999121198838171,342.71575234989,48,48,NA,0,FALSE,FALSE,26.609999999986,176,48,728,7,"fit_glaze_osc_zeta_v4_mouse",699.43150469978,699.587060255335
"L-BFGS-B1824",0.526352442597548,7.53636972962069,0.578074925293091,0.716709835428815,0.025,2.37608490969173,0.999,252.483109490346,109,109,NA,1,FALSE,FALSE,37.2699999999895,176,49,505,7,"fit_glaze_osc_zeta_v4_mouse",518.966218980692,519.191571093368
"L-BFGS-B1825",0.358588398490549,6.53589315655948,4.36068325739162,0,0.0849798593391159,1.05783173020426,0.999,320.957449418844,105,105,NA,0,FALSE,FALSE,49.1900000000023,176,50,688,7,"fit_glaze_osc_zeta_v4_mouse",655.914898837688,656.079604720041
"L-BFGS-B1826",0.595143848636271,10.4412839057432,1.10310572177263,1.85222927948882,0.0407578654151847,3.51204422863861,1.00001064497151,381.543513050269,74,74,NA,0,FALSE,FALSE,37.070000000007,176,51,739,7,"fit_glaze_osc_zeta_v4_mouse",777.087026100537,777.240240874819
"L-BFGS-B1827",0.496940445116104,3.75165308937266,1.48403678542896,0.394819050577625,0.2,4.35279785612843,0.999,351.491549810349,142,142,NA,1,FALSE,TRUE,60.679999999993,176,52,628,7,"fit_glaze_osc_zeta_v4_mouse",716.983099620698,717.163744781989
"L-BFGS-B1828",0.487197926600593,5.4436488179863,0.993821077703657,0.879436857768107,0.125799755943818,3.15784636386282,0.999,374.860379159804,52,52,NA,0,FALSE,FALSE,24.3600000000151,176,53,687,7,"fit_glaze_osc_zeta_v4_mouse",763.720758319608,763.885706773216
"L-BFGS-B1829",0.353893297758364,13.8690009393891,1.31759011729536,0.994045584557403,0.19333166342545,1.56943046894735,0.999,300.237774538153,100,100,NA,0,FALSE,FALSE,48.6900000000023,176,54,713,7,"fit_glaze_osc_zeta_v4_mouse",614.475549076306,614.634414324533
